epoch,training_loss,training_time,validation_acc
0,83.12,11.83,11.86
1,61.52,11.52,35.59
2,49.15,11.46,49.15
3,40.08,11.46,66.10
4,31.46,11.34,71.19
5,25.64,12.69,72.88
6,23.82,14.93,83.05
7,19.96,14.83,76.27
8,16.37,12.05,77.97
9,11.90,14.48,91.53
10,12.02,13.99,84.75
11,7.01,13.53,93.22
12,6.77,13.81,86.44
13,6.30,13.05,91.53
14,5.84,16.50,91.53
15,4.52,18.10,91.53
16,4.79,14.95,88.14
17,3.19,14.82,93.22
18,3.12,13.38,91.53
19,2.96,14.04,91.53
20,6.64,15.05,88.14
21,3.42,15.74,93.22
22,2.61,14.33,93.22
23,2.09,16.47,93.22
24,1.64,16.25,83.05
25,2.74,16.00,93.22
26,1.99,14.68,94.92
